platName	amount	bidderNum	borrowerNum	incomeRate	loanPeriod	totalLoanNum	regCapital	fullloanTime	stayStillOfTotal	netInflowOfThirty	top10DueInProportion	avgBidMoney	top10StayStillProportion	avgBorrowMoney	timeOperation	developZhishu
牛币网	41.9	28	2	9	0.99	2	1000	824.02	1851.76	29.11	30.7	1.5	62.73	20.95	12	0
投储在线	41.9	20	1	13.72	2.43	3	5000	600.34	2718.91	40.79	42.67	2.1	100	41.9	35	0
微镇	40	37	1	14	1.92	1	246	48.47	6469.17	15.16	23.12	1.08	23.67	40	21	0
盈金所	40	23	5	15	2	5	3000	16.36	2261.41	15.43	35.47	1.74	16.9	8	20	0
温易贷	40	6	1	14.3	2	2	1888	119.53	1948.66	0	45.49	6.67	100	40	27	0
达人贷	39.63	73	213	13.58	12.14	331	1816	0.88	9986.86	-27.13	12.07	0.54	5.12	0.19	37	77
优投在线	39.6	49	6	12.95	4.92	6	3000	295.52	4079.97	15.01	37.62	0.81	49.25	6.6	20	0
惠车贷	38	37	4	15	1	4	2000	0.11	1384.13	-0.13	34.89	1.03	43.71	9.5	37	0
创贷网	35.7	4	9	11.8	1	9	1100	0	825.22	1.62	63.35	8.93	23.05	3.97	42	0
你好贷	35	12	2	9.57	4.71	2	5000	3.36	3815.27	-25.01	32.66	2.92	60.5	17.5	21	0
猪宝宝	35	28	1	14.2	6	1	3000	1332.08	3487.57	534.17	18.68	1.25	100	35	25	0
甬e贷	34	13	6	16.5	4	7	5000	109.38	770	25.64	33.29	2.62	54.3	5.67	14	0
投复利	33	63	3	16.09	7.91	3	1500	164.13	31263.25	-20.93	9.77	0.52	13.8	11	25	0
中融通贷	31	11	3	11.13	2.68	3	5000	694.55	6416.02	-9.66	24.49	2.82	53.14	10.33	34	0
小树时代理财	30.59	96	86	17.82	11.46	86	1000	45.12	2397.08	21.32	53.87	0.32	0.59	0.36	22	0
融商贷	30	18	1	15	1	2	3000	564.58	763.39	-1.17	46.61	1.67	65.01	30	22	0
中广核富盈	29.8	22	7	8.3	14.38	7	1000	0.31	54085.87	17.11	70.49	1.35	59.31	4.26	28	0
律金金融	26.7	1	4	12.14	3.07	5	5000	0	12285.73	25.51	100	26.7	43.52	6.68	17	0
优车融	26.5	5	2	14.4	1	2	1000	545.34	1216.34	-8.6	57.51	5.3	21.05	13.25	20	0
恒大财富	26	20	5	8.96	5.04	5	5600	331.55	5108.96	7.6	54.44	1.3	95.77	5.2	25	0
锐盈财富	25	5	1	10.8	5	1	3000	0.07	4848.48	21.8	33.24	5	40.14	25	23	0
58财福	25	5	1	8.4	4	1	5000	18.02	7325.77	23.28	32.95	5	46.55	25	33	0
